id,original_title,variable,value
26794435,哪吒之魔童降世,vote_start5_percent,43.7
26752088,我不是药神,vote_start5_percent,57.6
1292052,肖申克的救赎 The Shawshank Redemption,vote_start5_percent,85.1
30166972,少年的你,vote_start5_percent,35.9
27010768,寄生虫 기생충,vote_start5_percent,46.9
1291561,千与千寻 千と千尋の神隠し,vote_start5_percent,71.8
25662329,疯狂动物城 Zootopia,vote_start5_percent,64.2
1292722,泰坦尼克号 Titanic,vote_start5_percent,74.0
26387939,摔跤吧！爸爸 Dangal,vote_start5_percent,59.3
1295644,这个杀手不太冷 Léon,vote_start5_percent,74.0
1292720,阿甘正传 Forrest Gump,vote_start5_percent,76.5
26266893,流浪地球,vote_start5_percent,32.1
27060077,绿皮书 Green Book,vote_start5_percent,54.4
1291546,霸王别姬,vote_start5_percent,81.7
25779217,诛仙1 诛仙 Ⅰ,vote_start5_percent,8.5
3319755,怦然心动 Flipped,vote_start5_percent,60.8
32659890,我和我的祖国,vote_start5_percent,22.6
20495023,寻梦环游记 Coco,vote_start5_percent,61.2
3793023,三傻大闹宝莱坞 3 Idiots,vote_start5_percent,68.1
26683290,你的名字。 君の名は。,vote_start5_percent,42.4
1292213,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,vote_start5_percent,66.9
3541415,盗梦空间 Inception,vote_start5_percent,70.8
3011091,"""忠犬八公的故事 Hachi: A Dogs Tale""",vote_start5_percent,72.9
27119724,小丑 Joker,vote_start5_percent,49.2
25986180,釜山行 부산행,vote_start5_percent,40.2
1849031,当幸福来敲门 The Pursuit of Happyness,vote_start5_percent,62.4
26100958,复仇者联盟4：终局之战 Avengers: Endgame,vote_start5_percent,46.6
1299398,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,vote_start5_percent,58.7
1292064,楚门的世界 The Truman Show,vote_start5_percent,68.5
4920389,头号玩家 Ready Player One,vote_start5_percent,48.3
27605698,西虹市首富,vote_start5_percent,9.5
26861685,红海行动,vote_start5_percent,37.7
1292001,"""海上钢琴师 La leggenda del pianista sulloceano""",vote_start5_percent,69.5
30295905,中国机长,vote_start5_percent,9.7
1652587,阿凡达 Avatar,vote_start5_percent,50.2
1291560,龙猫 となりのトトロ,vote_start5_percent,64.6
1306249,唐伯虎点秋香 唐伯虎點秋香,vote_start5_percent,44.0
30160393,猛禽小队和哈莉·奎茵 Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,vote_start5_percent,6.9
25964071,夏洛特烦恼,vote_start5_percent,24.9
30170448,何以为家 كفرناحوم,vote_start5_percent,61.2
3742360,让子弹飞,vote_start5_percent,52.7
1889243,星际穿越 Interstellar,vote_start5_percent,70.9
26698897,唐人街探案2,vote_start5_percent,8.2
1291543,功夫,vote_start5_percent,45.0
1291549,放牛班的春天 Les choristes,vote_start5_percent,69.3
30176393,误杀,vote_start5_percent,18.1
1295038,"""哈利·波特与魔法石 Harry Potter and the Sorcerers Stone""",vote_start5_percent,58.3
2129039,飞屋环游记 Up,vote_start5_percent,58.1
26363254,战狼2,vote_start5_percent,19.5
26311973,唐人街探案,vote_start5_percent,18.3
1307914,无间道 無間道,vote_start5_percent,65.5
1929463,少年派的奇幻漂流 Life of Pi,vote_start5_percent,60.8
26348103,小妇人 Little Women,vote_start5_percent,29.9
26985127,一出好戏,vote_start5_percent,11.9
30334073,调音师 Andhadhun,vote_start5_percent,33.5
